
--------------------------------------------------------------
*** Drop tables ***
Dropped 6 tables.

--------------------------------------------------------------

--------------------------------------------------------------
*** Create tables ***
Created 6 tables.

--------------------------------------------------------------

--------------------------------------------------------------
*** Insert Participants ***
1000 participants were inserted.

--------------------------------------------------------------

--------------------------------------------------------------
*** Insert Passengers ***
700 passengers were inserted.

--------------------------------------------------------------

--------------------------------------------------------------
*** Insert Drivers ***
400 drivers were inserted.

--------------------------------------------------------------

--------------------------------------------------------------
*** Insert Cars ***
601 cars were inserted.

--------------------------------------------------------------

--------------------------------------------------------------
*** Insert Trips ***
1698 trips were inserted.

--------------------------------------------------------------

--------------------------------------------------------------
*** Insert Bookings ***
2125 bookings were inserted.

--------------------------------------------------------------

--------------------------------------------------------------
*** Find participants who are both passengers and drivers ***
Participant{PIN=106828, p_name='Jane Johnson', age=35}
DriverScoreRatingNumberOfBookingsPIN{driver_score=35.100, rating=2.7, numberOfBookings=13, DriverPIN=819670}
DriverScoreRatingNumberOfBookingsPIN{driver_score=35.000, rating=5.0, numberOfBookings=7, DriverPIN=667706}
DriverScoreRatingNumberOfBookingsPIN{driver_score=34.400, rating=4.3, numberOfBookings=8, DriverPIN=258332}
DriverScoreRatingNumberOfBookingsPIN{driver_score=34.300, rating=4.9, numberOfBookings=7, DriverPIN=556082}
DriverScoreRatingNumberOfBookingsPIN{driver_score=34.200, rating=3.8, numberOfBookings=9, DriverPIN=727972}
DriverScoreRatingNumberOfBookingsPIN{driver_score=34.000, rating=2.0, numberOfBookings=17, DriverPIN=821901}
DriverScoreRatingNumberOfBookingsPIN{driver_score=33.800, rating=2.6, numberOfBookings=13, DriverPIN=118093}
DriverScoreRatingNumberOfBookingsPIN{driver_score=33.600, rating=4.2, numberOfBookings=8, DriverPIN=385993}
DriverScoreRatingNumberOfBookingsPIN{driver_score=33.600, rating=2.8, numberOfBookings=12, DriverPIN=696403}
DriverScoreRatingNumberOfBookingsPIN{driver_score=33.300, rating=3.7, numberOfBookings=9, DriverPIN=480613}
DriverScoreRatingNumberOfBookingsPIN{driver_score=33.000, rating=2.2, numberOfBookings=15, DriverPIN=863264}
DriverScoreRatingNumberOfBookingsPIN{driver_score=32.800, rating=4.1, numberOfBookings=8, DriverPIN=242780}
DriverScoreRatingNumberOfBookingsPIN{driver_score=32.000, rating=2.0, numberOfBookings=16, DriverPIN=108749}
DriverScoreRatingNumberOfBookingsPIN{driver_score=32.000, rating=4.0, numberOfBookings=8, DriverPIN=801474}
DriverScoreRatingNumberOfBookingsPIN{driver_score=31.900, rating=2.9, numberOfBookings=11, DriverPIN=153262}
DriverScoreRatingNumberOfBookingsPIN{driver_score=31.200, rating=2.6, numberOfBookings=12, DriverPIN=946780}
DriverScoreRatingNumberOfBookingsPIN{driver_score=31.000, rating=3.1, numberOfBookings=10, DriverPIN=650992}
DriverScoreRatingNumberOfBookingsPIN{driver_score=31.000, rating=3.1, numberOfBookings=10, DriverPIN=920606}
DriverScoreRatingNumberOfBookingsPIN{driver_score=31.000, rating=3.1, numberOfBookings=10, DriverPIN=926021}
DriverScoreRatingNumberOfBookingsPIN{driver_score=30.800, rating=2.2, numberOfBookings=14, DriverPIN=123700}
DriverScoreRatingNumberOfBookingsPIN{driver_score=30.800, rating=2.2, numberOfBookings=14, DriverPIN=904986}
DriverScoreRatingNumberOfBookingsPIN{driver_score=30.600, rating=1.8, numberOfBookings=17, DriverPIN=405266}
DriverScoreRatingNumberOfBookingsPIN{driver_score=30.400, rating=3.8, numberOfBookings=8, DriverPIN=941516}
DriverScoreRatingNumberOfBookingsPIN{driver_score=29.600, rating=3.7, numberOfBookings=8, DriverPIN=354495}
DriverScoreRatingNumberOfBookingsPIN{driver_score=29.400, rating=4.2, numberOfBookings=7, DriverPIN=720112}
DriverScoreRatingNumberOfBookingsPIN{driver_score=29.000, rating=2.9, numberOfBookings=10, DriverPIN=895791}
DriverScoreRatingNumberOfBookingsPIN{driver_score=28.800, rating=3.2, numberOfBookings=9, DriverPIN=104016}
DriverScoreRatingNumberOfBookingsPIN{driver_score=28.800, rating=4.8, numberOfBookings=6, DriverPIN=140624}
DriverScoreRatingNumberOfBookingsPIN{driver_score=28.800, rating=1.6, numberOfBookings=18, DriverPIN=312575}
DriverScoreRatingNumberOfBookingsPIN{driver_score=28.800, rating=3.2, numberOfBookings=9, DriverPIN=357141}
DriverScoreRatingNumberOfBookingsPIN{driver_score=28.700, rating=4.1, numberOfBookings=7, DriverPIN=533362}
DriverScoreRatingNumberOfBookingsPIN{driver_score=28.600, rating=2.6, numberOfBookings=11, DriverPIN=471871}
DriverScoreRatingNumberOfBookingsPIN{driver_score=28.200, rating=4.7, numberOfBookings=6, DriverPIN=388267}
DriverScoreRatingNumberOfBookingsPIN{driver_score=28.200, rating=4.7, numberOfBookings=6, DriverPIN=496960}
DriverScoreRatingNumberOfBookingsPIN{driver_score=27.900, rating=3.1, numberOfBookings=9, DriverPIN=386808}
DriverScoreRatingNumberOfBookingsPIN{driver_score=27.900, rating=3.1, numberOfBookings=9, DriverPIN=487434}
DriverScoreRatingNumberOfBookingsPIN{driver_score=27.300, rating=3.9, numberOfBookings=7, DriverPIN=796988}
DriverScoreRatingNumberOfBookingsPIN{driver_score=27.200, rating=1.6, numberOfBookings=17, DriverPIN=458434}
DriverScoreRatingNumberOfBookingsPIN{driver_score=27.000, rating=4.5, numberOfBookings=6, DriverPIN=660921}
DriverScoreRatingNumberOfBookingsPIN{driver_score=26.600, rating=1.9, numberOfBookings=14, DriverPIN=525394}
DriverScoreRatingNumberOfBookingsPIN{driver_score=26.400, rating=3.3, numberOfBookings=8, DriverPIN=178677}
DriverScoreRatingNumberOfBookingsPIN{driver_score=25.900, rating=3.7, numberOfBookings=7, DriverPIN=183118}
DriverScoreRatingNumberOfBookingsPIN{driver_score=25.300, rating=2.3, numberOfBookings=11, DriverPIN=476570}
DriverScoreRatingNumberOfBookingsPIN{driver_score=25.200, rating=2.8, numberOfBookings=9, DriverPIN=208534}
DriverScoreRatingNumberOfBookingsPIN{driver_score=25.200, rating=4.2, numberOfBookings=6, DriverPIN=470266}
DriverScoreRatingNumberOfBookingsPIN{driver_score=24.700, rating=1.3, numberOfBookings=19, DriverPIN=768308}
DriverScoreRatingNumberOfBookingsPIN{driver_score=24.500, rating=3.5, numberOfBookings=7, DriverPIN=106828}
DriverScoreRatingNumberOfBookingsPIN{driver_score=24.500, rating=3.5, numberOfBookings=7, DriverPIN=828342}
DriverScoreRatingNumberOfBookingsPIN{driver_score=24.300, rating=2.7, numberOfBookings=9, DriverPIN=514372}
DriverScoreRatingNumberOfBookingsPIN{driver_score=24.000, rating=4.0, numberOfBookings=6, DriverPIN=137381}
DriverScoreRatingNumberOfBookingsPIN{driver_score=24.000, rating=4.0, numberOfBookings=6, DriverPIN=423240}
DriverScoreRatingNumberOfBookingsPIN{driver_score=24.000, rating=4.0, numberOfBookings=6, DriverPIN=901630}
DriverScoreRatingNumberOfBookingsPIN{driver_score=23.800, rating=3.4, numberOfBookings=7, DriverPIN=504636}
DriverScoreRatingNumberOfBookingsPIN{driver_score=23.800, rating=1.7, numberOfBookings=14, DriverPIN=824681}
DriverScoreRatingNumberOfBookingsPIN{driver_score=23.800, rating=3.4, numberOfBookings=7, DriverPIN=829221}
DriverScoreRatingNumberOfBookingsPIN{driver_score=23.200, rating=2.9, numberOfBookings=8, DriverPIN=698922}
DriverScoreRatingNumberOfBookingsPIN{driver_score=23.100, rating=2.1, numberOfBookings=11, DriverPIN=398218}
DriverScoreRatingNumberOfBookingsPIN{driver_score=23.000, rating=2.3, numberOfBookings=10, DriverPIN=250972}
DriverScoreRatingNumberOfBookingsPIN{driver_score=23.000, rating=2.3, numberOfBookings=10, DriverPIN=365065}
DriverScoreRatingNumberOfBookingsPIN{driver_score=22.800, rating=3.8, numberOfBookings=6, DriverPIN=405487}
DriverScoreRatingNumberOfBookingsPIN{driver_score=22.800, rating=1.2, numberOfBookings=19, DriverPIN=464918}
DriverScoreRatingNumberOfBookingsPIN{driver_score=22.400, rating=2.8, numberOfBookings=8, DriverPIN=531559}
DriverScoreRatingNumberOfBookingsPIN{driver_score=22.400, rating=2.8, numberOfBookings=8, DriverPIN=807640}
DriverScoreRatingNumberOfBookingsPIN{driver_score=22.100, rating=1.7, numberOfBookings=13, DriverPIN=138373}
DriverScoreRatingNumberOfBookingsPIN{driver_score=22.000, rating=2.0, numberOfBookings=11, DriverPIN=956258}
DriverScoreRatingNumberOfBookingsPIN{driver_score=21.600, rating=1.8, numberOfBookings=12, DriverPIN=222784}
DriverScoreRatingNumberOfBookingsPIN{driver_score=21.600, rating=2.7, numberOfBookings=8, DriverPIN=740161}
DriverScoreRatingNumberOfBookingsPIN{driver_score=21.600, rating=3.6, numberOfBookings=6, DriverPIN=856289}
DriverScoreRatingNumberOfBookingsPIN{driver_score=21.500, rating=4.3, numberOfBookings=5, DriverPIN=733252}
DriverScoreRatingNumberOfBookingsPIN{driver_score=21.000, rating=3.0, numberOfBookings=7, DriverPIN=140330}
DriverScoreRatingNumberOfBookingsPIN{driver_score=20.800, rating=2.6, numberOfBookings=8, DriverPIN=934991}
DriverScoreRatingNumberOfBookingsPIN{driver_score=20.700, rating=2.3, numberOfBookings=9, DriverPIN=203509}
DriverScoreRatingNumberOfBookingsPIN{driver_score=20.500, rating=4.1, numberOfBookings=5, DriverPIN=361398}
DriverScoreRatingNumberOfBookingsPIN{driver_score=20.300, rating=2.9, numberOfBookings=7, DriverPIN=987961}
DriverScoreRatingNumberOfBookingsPIN{driver_score=20.000, rating=2.0, numberOfBookings=10, DriverPIN=122454}
DriverScoreRatingNumberOfBookingsPIN{driver_score=20.000, rating=5.0, numberOfBookings=4, DriverPIN=259898}
DriverScoreRatingNumberOfBookingsPIN{driver_score=20.000, rating=2.5, numberOfBookings=8, DriverPIN=520394}
DriverScoreRatingNumberOfBookingsPIN{driver_score=19.800, rating=3.3, numberOfBookings=6, DriverPIN=230568}
DriverScoreRatingNumberOfBookingsPIN{driver_score=19.800, rating=3.3, numberOfBookings=6, DriverPIN=410678}
DriverScoreRatingNumberOfBookingsPIN{driver_score=19.600, rating=2.8, numberOfBookings=7, DriverPIN=439334}
DriverScoreRatingNumberOfBookingsPIN{driver_score=19.600, rating=2.8, numberOfBookings=7, DriverPIN=971204}
DriverScoreRatingNumberOfBookingsPIN{driver_score=19.200, rating=4.8, numberOfBookings=4, DriverPIN=778829}
DriverScoreRatingNumberOfBookingsPIN{driver_score=18.900, rating=2.1, numberOfBookings=9, DriverPIN=549063}
DriverScoreRatingNumberOfBookingsPIN{driver_score=18.900, rating=2.1, numberOfBookings=9, DriverPIN=561922}
DriverScoreRatingNumberOfBookingsPIN{driver_score=18.900, rating=2.1, numberOfBookings=9, DriverPIN=723263}
DriverScoreRatingNumberOfBookingsPIN{driver_score=18.900, rating=2.1, numberOfBookings=9, DriverPIN=922533}
DriverScoreRatingNumberOfBookingsPIN{driver_score=18.800, rating=4.7, numberOfBookings=4, DriverPIN=612078}
DriverScoreRatingNumberOfBookingsPIN{driver_score=18.700, rating=1.1, numberOfBookings=17, DriverPIN=621215}
DriverScoreRatingNumberOfBookingsPIN{driver_score=18.700, rating=1.1, numberOfBookings=17, DriverPIN=922063}
DriverScoreRatingNumberOfBookingsPIN{driver_score=18.000, rating=2.0, numberOfBookings=9, DriverPIN=573997}
DriverScoreRatingNumberOfBookingsPIN{driver_score=18.000, rating=4.5, numberOfBookings=4, DriverPIN=870728}
DriverScoreRatingNumberOfBookingsPIN{driver_score=17.500, rating=3.5, numberOfBookings=5, DriverPIN=558804}
DriverScoreRatingNumberOfBookingsPIN{driver_score=17.500, rating=2.5, numberOfBookings=7, DriverPIN=574367}
DriverScoreRatingNumberOfBookingsPIN{driver_score=17.500, rating=3.5, numberOfBookings=5, DriverPIN=806324}
DriverScoreRatingNumberOfBookingsPIN{driver_score=16.800, rating=2.1, numberOfBookings=8, DriverPIN=367280}
DriverScoreRatingNumberOfBookingsPIN{driver_score=16.800, rating=2.4, numberOfBookings=7, DriverPIN=557115}
DriverScoreRatingNumberOfBookingsPIN{driver_score=16.800, rating=4.2, numberOfBookings=4, DriverPIN=621223}
DriverScoreRatingNumberOfBookingsPIN{driver_score=16.800, rating=4.2, numberOfBookings=4, DriverPIN=858979}
DriverScoreRatingNumberOfBookingsPIN{driver_score=16.800, rating=4.2, numberOfBookings=4, DriverPIN=890447}
DriverScoreRatingNumberOfBookingsPIN{driver_score=16.500, rating=3.3, numberOfBookings=5, DriverPIN=282229}
DriverScoreRatingNumberOfBookingsPIN{driver_score=16.000, rating=3.2, numberOfBookings=5, DriverPIN=112592}
DriverScoreRatingNumberOfBookingsPIN{driver_score=16.000, rating=3.2, numberOfBookings=5, DriverPIN=222596}
DriverScoreRatingNumberOfBookingsPIN{driver_score=15.600, rating=1.3, numberOfBookings=12, DriverPIN=909029}
DriverScoreRatingNumberOfBookingsPIN{driver_score=15.500, rating=3.1, numberOfBookings=5, DriverPIN=846887}
DriverScoreRatingNumberOfBookingsPIN{driver_score=15.400, rating=1.4, numberOfBookings=11, DriverPIN=480587}
DriverScoreRatingNumberOfBookingsPIN{driver_score=15.200, rating=3.8, numberOfBookings=4, DriverPIN=499815}
DriverScoreRatingNumberOfBookingsPIN{driver_score=15.200, rating=3.8, numberOfBookings=4, DriverPIN=658572}
DriverScoreRatingNumberOfBookingsPIN{driver_score=15.200, rating=1.9, numberOfBookings=8, DriverPIN=690761}
DriverScoreRatingNumberOfBookingsPIN{driver_score=15.000, rating=5.0, numberOfBookings=3, DriverPIN=220505}
DriverScoreRatingNumberOfBookingsPIN{driver_score=15.000, rating=2.5, numberOfBookings=6, DriverPIN=261055}
DriverScoreRatingNumberOfBookingsPIN{driver_score=14.700, rating=2.1, numberOfBookings=7, DriverPIN=302331}
DriverScoreRatingNumberOfBookingsPIN{driver_score=14.700, rating=2.1, numberOfBookings=7, DriverPIN=650883}
DriverScoreRatingNumberOfBookingsPIN{driver_score=14.400, rating=4.8, numberOfBookings=3, DriverPIN=165640}
DriverScoreRatingNumberOfBookingsPIN{driver_score=14.400, rating=3.6, numberOfBookings=4, DriverPIN=213146}
DriverScoreRatingNumberOfBookingsPIN{driver_score=14.400, rating=1.6, numberOfBookings=9, DriverPIN=488137}
DriverScoreRatingNumberOfBookingsPIN{driver_score=14.400, rating=1.6, numberOfBookings=9, DriverPIN=530722}
DriverScoreRatingNumberOfBookingsPIN{driver_score=14.400, rating=3.6, numberOfBookings=4, DriverPIN=635323}
DriverScoreRatingNumberOfBookingsPIN{driver_score=14.100, rating=4.7, numberOfBookings=3, DriverPIN=251498}
DriverScoreRatingNumberOfBookingsPIN{driver_score=14.000, rating=1.4, numberOfBookings=10, DriverPIN=287736}
DriverScoreRatingNumberOfBookingsPIN{driver_score=14.000, rating=2.8, numberOfBookings=5, DriverPIN=732868}
DriverScoreRatingNumberOfBookingsPIN{driver_score=13.800, rating=4.6, numberOfBookings=3, DriverPIN=646074}
DriverScoreRatingNumberOfBookingsPIN{driver_score=13.300, rating=1.9, numberOfBookings=7, DriverPIN=859018}
DriverScoreRatingNumberOfBookingsPIN{driver_score=13.200, rating=4.4, numberOfBookings=3, DriverPIN=106866}
DriverScoreRatingNumberOfBookingsPIN{driver_score=13.200, rating=3.3, numberOfBookings=4, DriverPIN=887923}
DriverScoreRatingNumberOfBookingsPIN{driver_score=13.000, rating=2.6, numberOfBookings=5, DriverPIN=102417}
DriverScoreRatingNumberOfBookingsPIN{driver_score=13.000, rating=2.6, numberOfBookings=5, DriverPIN=396496}
DriverScoreRatingNumberOfBookingsPIN{driver_score=12.900, rating=4.3, numberOfBookings=3, DriverPIN=296911}
DriverScoreRatingNumberOfBookingsPIN{driver_score=12.800, rating=1.6, numberOfBookings=8, DriverPIN=290059}
DriverScoreRatingNumberOfBookingsPIN{driver_score=12.800, rating=1.6, numberOfBookings=8, DriverPIN=636748}
DriverScoreRatingNumberOfBookingsPIN{driver_score=12.600, rating=4.2, numberOfBookings=3, DriverPIN=348761}
DriverScoreRatingNumberOfBookingsPIN{driver_score=12.600, rating=2.1, numberOfBookings=6, DriverPIN=867311}
DriverScoreRatingNumberOfBookingsPIN{driver_score=12.500, rating=2.5, numberOfBookings=5, DriverPIN=918855}
DriverScoreRatingNumberOfBookingsPIN{driver_score=12.000, rating=4.0, numberOfBookings=3, DriverPIN=166188}
DriverScoreRatingNumberOfBookingsPIN{driver_score=12.000, rating=4.0, numberOfBookings=3, DriverPIN=209601}
DriverScoreRatingNumberOfBookingsPIN{driver_score=12.000, rating=2.0, numberOfBookings=6, DriverPIN=464159}
DriverScoreRatingNumberOfBookingsPIN{driver_score=12.000, rating=1.5, numberOfBookings=8, DriverPIN=567170}
DriverScoreRatingNumberOfBookingsPIN{driver_score=12.000, rating=2.0, numberOfBookings=6, DriverPIN=583515}
DriverScoreRatingNumberOfBookingsPIN{driver_score=12.000, rating=2.0, numberOfBookings=6, DriverPIN=811497}
DriverScoreRatingNumberOfBookingsPIN{driver_score=11.700, rating=3.9, numberOfBookings=3, DriverPIN=162026}
DriverScoreRatingNumberOfBookingsPIN{driver_score=11.600, rating=2.9, numberOfBookings=4, DriverPIN=661428}
DriverScoreRatingNumberOfBookingsPIN{driver_score=11.400, rating=1.9, numberOfBookings=6, DriverPIN=273680}
DriverScoreRatingNumberOfBookingsPIN{driver_score=11.200, rating=1.4, numberOfBookings=8, DriverPIN=697726}
DriverScoreRatingNumberOfBookingsPIN{driver_score=10.800, rating=2.7, numberOfBookings=4, DriverPIN=242535}
DriverScoreRatingNumberOfBookingsPIN{driver_score=10.800, rating=1.2, numberOfBookings=9, DriverPIN=540112}
DriverScoreRatingNumberOfBookingsPIN{driver_score=10.800, rating=2.7, numberOfBookings=4, DriverPIN=741974}
DriverScoreRatingNumberOfBookingsPIN{driver_score=10.500, rating=3.5, numberOfBookings=3, DriverPIN=317016}
DriverScoreRatingNumberOfBookingsPIN{driver_score=10.400, rating=1.3, numberOfBookings=8, DriverPIN=942039}
DriverScoreRatingNumberOfBookingsPIN{driver_score=10.400, rating=1.3, numberOfBookings=8, DriverPIN=950080}
DriverScoreRatingNumberOfBookingsPIN{driver_score=10.200, rating=1.7, numberOfBookings=6, DriverPIN=519519}
DriverScoreRatingNumberOfBookingsPIN{driver_score=10.200, rating=1.7, numberOfBookings=6, DriverPIN=755213}
DriverScoreRatingNumberOfBookingsPIN{driver_score=9.900, rating=3.3, numberOfBookings=3, DriverPIN=500901}
DriverScoreRatingNumberOfBookingsPIN{driver_score=9.800, rating=4.9, numberOfBookings=2, DriverPIN=152351}
DriverScoreRatingNumberOfBookingsPIN{driver_score=9.800, rating=1.4, numberOfBookings=7, DriverPIN=154144}
DriverScoreRatingNumberOfBookingsPIN{driver_score=9.800, rating=4.9, numberOfBookings=2, DriverPIN=975224}
DriverScoreRatingNumberOfBookingsPIN{driver_score=9.600, rating=2.4, numberOfBookings=4, DriverPIN=213573}
DriverScoreRatingNumberOfBookingsPIN{driver_score=9.600, rating=2.4, numberOfBookings=4, DriverPIN=222143}
DriverScoreRatingNumberOfBookingsPIN{driver_score=9.600, rating=3.2, numberOfBookings=3, DriverPIN=404937}
DriverScoreRatingNumberOfBookingsPIN{driver_score=9.600, rating=1.2, numberOfBookings=8, DriverPIN=561814}
DriverScoreRatingNumberOfBookingsPIN{driver_score=9.600, rating=3.2, numberOfBookings=3, DriverPIN=937920}
DriverScoreRatingNumberOfBookingsPIN{driver_score=9.000, rating=1.8, numberOfBookings=5, DriverPIN=416366}
DriverScoreRatingNumberOfBookingsPIN{driver_score=9.000, rating=1.8, numberOfBookings=5, DriverPIN=643541}
DriverScoreRatingNumberOfBookingsPIN{driver_score=8.800, rating=1.1, numberOfBookings=8, DriverPIN=164932}
DriverScoreRatingNumberOfBookingsPIN{driver_score=8.800, rating=4.4, numberOfBookings=2, DriverPIN=322938}
DriverScoreRatingNumberOfBookingsPIN{driver_score=8.800, rating=1.1, numberOfBookings=8, DriverPIN=409351}
DriverScoreRatingNumberOfBookingsPIN{driver_score=8.600, rating=4.3, numberOfBookings=2, DriverPIN=973273}
DriverScoreRatingNumberOfBookingsPIN{driver_score=8.500, rating=1.7, numberOfBookings=5, DriverPIN=519660}
DriverScoreRatingNumberOfBookingsPIN{driver_score=8.400, rating=1.2, numberOfBookings=7, DriverPIN=463237}
DriverScoreRatingNumberOfBookingsPIN{driver_score=8.400, rating=1.4, numberOfBookings=6, DriverPIN=850420}
DriverScoreRatingNumberOfBookingsPIN{driver_score=8.400, rating=2.1, numberOfBookings=4, DriverPIN=933675}
DriverScoreRatingNumberOfBookingsPIN{driver_score=8.000, rating=2.0, numberOfBookings=4, DriverPIN=195102}
DriverScoreRatingNumberOfBookingsPIN{driver_score=8.000, rating=4.0, numberOfBookings=2, DriverPIN=254385}
DriverScoreRatingNumberOfBookingsPIN{driver_score=8.000, rating=1.6, numberOfBookings=5, DriverPIN=343348}
DriverScoreRatingNumberOfBookingsPIN{driver_score=8.000, rating=1.6, numberOfBookings=5, DriverPIN=403642}
DriverScoreRatingNumberOfBookingsPIN{driver_score=8.000, rating=4.0, numberOfBookings=2, DriverPIN=648910}
DriverScoreRatingNumberOfBookingsPIN{driver_score=8.000, rating=4.0, numberOfBookings=2, DriverPIN=722335}
DriverScoreRatingNumberOfBookingsPIN{driver_score=7.800, rating=1.3, numberOfBookings=6, DriverPIN=316310}
DriverScoreRatingNumberOfBookingsPIN{driver_score=7.800, rating=2.6, numberOfBookings=3, DriverPIN=550501}
DriverScoreRatingNumberOfBookingsPIN{driver_score=7.800, rating=3.9, numberOfBookings=2, DriverPIN=612096}
DriverScoreRatingNumberOfBookingsPIN{driver_score=7.800, rating=2.6, numberOfBookings=3, DriverPIN=759014}
DriverScoreRatingNumberOfBookingsPIN{driver_score=7.800, rating=2.6, numberOfBookings=3, DriverPIN=815745}
DriverScoreRatingNumberOfBookingsPIN{driver_score=7.700, rating=1.1, numberOfBookings=7, DriverPIN=668702}
DriverScoreRatingNumberOfBookingsPIN{driver_score=7.600, rating=3.8, numberOfBookings=2, DriverPIN=403278}
DriverScoreRatingNumberOfBookingsPIN{driver_score=7.600, rating=1.9, numberOfBookings=4, DriverPIN=684888}
DriverScoreRatingNumberOfBookingsPIN{driver_score=7.400, rating=3.7, numberOfBookings=2, DriverPIN=468143}
DriverScoreRatingNumberOfBookingsPIN{driver_score=7.200, rating=1.8, numberOfBookings=4, DriverPIN=814792}
DriverScoreRatingNumberOfBookingsPIN{driver_score=6.600, rating=2.2, numberOfBookings=3, DriverPIN=311955}
DriverScoreRatingNumberOfBookingsPIN{driver_score=6.400, rating=3.2, numberOfBookings=2, DriverPIN=206720}
DriverScoreRatingNumberOfBookingsPIN{driver_score=6.300, rating=2.1, numberOfBookings=3, DriverPIN=613818}
DriverScoreRatingNumberOfBookingsPIN{driver_score=6.200, rating=3.1, numberOfBookings=2, DriverPIN=764676}
DriverScoreRatingNumberOfBookingsPIN{driver_score=6.000, rating=1.2, numberOfBookings=5, DriverPIN=185413}
DriverScoreRatingNumberOfBookingsPIN{driver_score=6.000, rating=3.0, numberOfBookings=2, DriverPIN=939136}
DriverScoreRatingNumberOfBookingsPIN{driver_score=5.800, rating=2.9, numberOfBookings=2, DriverPIN=957048}
DriverScoreRatingNumberOfBookingsPIN{driver_score=5.400, rating=2.7, numberOfBookings=2, DriverPIN=557890}
DriverScoreRatingNumberOfBookingsPIN{driver_score=4.900, rating=4.9, numberOfBookings=1, DriverPIN=671290}
DriverScoreRatingNumberOfBookingsPIN{driver_score=4.800, rating=1.6, numberOfBookings=3, DriverPIN=559850}
DriverScoreRatingNumberOfBookingsPIN{driver_score=4.800, rating=1.6, numberOfBookings=3, DriverPIN=776956}
DriverScoreRatingNumberOfBookingsPIN{driver_score=4.800, rating=2.4, numberOfBookings=2, DriverPIN=873341}
DriverScoreRatingNumberOfBookingsPIN{driver_score=4.500, rating=4.5, numberOfBookings=1, DriverPIN=407189}
DriverScoreRatingNumberOfBookingsPIN{driver_score=4.400, rating=2.2, numberOfBookings=2, DriverPIN=194960}
DriverScoreRatingNumberOfBookingsPIN{driver_score=4.400, rating=2.2, numberOfBookings=2, DriverPIN=535667}
DriverScoreRatingNumberOfBookingsPIN{driver_score=4.400, rating=1.1, numberOfBookings=4, DriverPIN=685822}
DriverScoreRatingNumberOfBookingsPIN{driver_score=4.200, rating=4.2, numberOfBookings=1, DriverPIN=704380}
DriverScoreRatingNumberOfBookingsPIN{driver_score=4.000, rating=4.0, numberOfBookings=1, DriverPIN=972499}
DriverScoreRatingNumberOfBookingsPIN{driver_score=3.900, rating=3.9, numberOfBookings=1, DriverPIN=118707}
DriverScoreRatingNumberOfBookingsPIN{driver_score=3.900, rating=1.3, numberOfBookings=3, DriverPIN=181885}
DriverScoreRatingNumberOfBookingsPIN{driver_score=3.800, rating=1.9, numberOfBookings=2, DriverPIN=211085}
DriverScoreRatingNumberOfBookingsPIN{driver_score=3.800, rating=3.8, numberOfBookings=1, DriverPIN=742007}
DriverScoreRatingNumberOfBookingsPIN{driver_score=3.500, rating=3.5, numberOfBookings=1, DriverPIN=243534}
DriverScoreRatingNumberOfBookingsPIN{driver_score=3.500, rating=3.5, numberOfBookings=1, DriverPIN=914736}
DriverScoreRatingNumberOfBookingsPIN{driver_score=3.400, rating=1.7, numberOfBookings=2, DriverPIN=329823}
DriverScoreRatingNumberOfBookingsPIN{driver_score=3.400, rating=3.4, numberOfBookings=1, DriverPIN=961202}
DriverScoreRatingNumberOfBookingsPIN{driver_score=3.400, rating=1.7, numberOfBookings=2, DriverPIN=997594}
DriverScoreRatingNumberOfBookingsPIN{driver_score=3.000, rating=1.0, numberOfBookings=3, DriverPIN=830388}
DriverScoreRatingNumberOfBookingsPIN{driver_score=3.000, rating=1.5, numberOfBookings=2, DriverPIN=961151}
DriverScoreRatingNumberOfBookingsPIN{driver_score=2.800, rating=1.4, numberOfBookings=2, DriverPIN=864177}
DriverScoreRatingNumberOfBookingsPIN{driver_score=2.600, rating=1.3, numberOfBookings=2, DriverPIN=278730}
DriverScoreRatingNumberOfBookingsPIN{driver_score=2.400, rating=1.2, numberOfBookings=2, DriverPIN=912575}
DriverScoreRatingNumberOfBookingsPIN{driver_score=2.300, rating=2.3, numberOfBookings=1, DriverPIN=713660}
DriverScoreRatingNumberOfBookingsPIN{driver_score=2.100, rating=2.1, numberOfBookings=1, DriverPIN=631704}
DriverScoreRatingNumberOfBookingsPIN{driver_score=1.900, rating=1.9, numberOfBookings=1, DriverPIN=293970}
DriverScoreRatingNumberOfBookingsPIN{driver_score=1.900, rating=1.9, numberOfBookings=1, DriverPIN=879155}
DriverScoreRatingNumberOfBookingsPIN{driver_score=1.800, rating=1.8, numberOfBookings=1, DriverPIN=933286}
DriverScoreRatingNumberOfBookingsPIN{driver_score=1.600, rating=1.6, numberOfBookings=1, DriverPIN=982810}
DriverScoreRatingNumberOfBookingsPIN{driver_score=1.500, rating=1.5, numberOfBookings=1, DriverPIN=471731}
DriverScoreRatingNumberOfBookingsPIN{driver_score=1.200, rating=1.2, numberOfBookings=1, DriverPIN=298450}
DriverScoreRatingNumberOfBookingsPIN{driver_score=1.200, rating=1.2, numberOfBookings=1, DriverPIN=604517}

--------------------------------------------------------------

--------------------------------------------------------------
*** Find Average Ratings of Drivers Who Have Trips Destined to Each City ***
CityAndAverageDriverRating{destination_city='Chicago', average_rating_of_drivers=2.998}
CityAndAverageDriverRating{destination_city='Dallas', average_rating_of_drivers=2.947}
CityAndAverageDriverRating{destination_city='Denver', average_rating_of_drivers=2.400}
CityAndAverageDriverRating{destination_city='Houston', average_rating_of_drivers=2.922}
